name_a,type_a,name_b,type_b,similarity,decision,confidence,reason
udp/tcp 協定,feature,udp 協定,feature,0.9347,different,0.8,udp/tcp 協定和 udp 協定雖相關但指稱不同概念
tls 協定,feature,tls 協議,feature,0.9302,same,1.0,tls 協定和 tls 協議是同義詞
交易的安全性,feature,交易安全,feature,0.9669,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指交易的安全性
tcp/ip協定組,feature,tcp 協定,feature,0.923,different,0.8,tcp/ip協定組包含多個協定，tcp協定是其中之一
tcp連接埠,feature,連接埠,feature,0.9244,same,0.8,tcp連接埠和連接埠在本體論類別feature下語意相近
實體安全技術,feature,實體安全,feature,0.9341,same,0.8,節點 A 和節點 B 的名稱語意相近，實體安全技術可以被視為實體安全的具體化形式
ip 位址協定,feature,ip協定,feature,0.9117,same,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址協定的概念
port 445,feature,tcp 445,feature,0.9072,same,0.9,節點 A 和節點 B 都指稱 TCP 通訊協定的 445 端口
ip協定,feature,ipsec協定,feature,0.9069,different,0.8,IP協定和IPSec協定是相關但不同的網路協定
超低延遲,feature,低延遲,feature,0.9066,different,0.8,超低延遲和低延遲雖相關但強調程度不同
預設帳號,feature,系統預設帳號,feature,0.9064,same,0.9,節點 A 和節點 B 的名稱語意相近，均指系統或工具的預設帳號特性
ssl安全交易協定,feature,ssl 協定,feature,0.906,same,0.9,節點A和節點B的名稱語意相近，均指稱SSL安全協定
操作安全,feature,安全性,feature,0.9201,same,0.9,操作安全和安全性是同義詞
外圍層,feature,外部層,feature,0.9498,same,0.9,外圍層和外部層是同義詞
無線通訊技術,feature,wifi 通訊技術,feature,0.9084,different,0.8,wifi 是無線通訊技術的一種特定實現
堆疊,feature,堆積,feature,0.9056,same,0.9,堆疊和堆積在中文中是同義詞
通訊協定,feature,傳輸協定,feature,0.8956,same,0.9,通訊協定和傳輸協定在此語境下是同義詞
tls,feature,tls/ssl,feature,0.9268,same,0.9,tls 和 tls/ssl 都指的是加密通訊協定，tls/ssl 可視為 tls 的擴展或變體
連接埠 20/21,feature,連接埠 21,feature,0.9055,different,0.8,節點 A 指連接埠 20/21，節點 B 指連接埠 21，兩者指稱不同概念
接觸點,feature,金屬接觸點,feature,0.8985,different,0.8,雖然兩個節點都與接觸點相關，但節點 B 的金屬接觸點是節點 A 的特定類型
生物特徵,feature,生理特徵,feature,0.8899,same,0.8,生物特徵和生理特徵在此語境下可視為同義詞
接觸式介面,feature,非接觸式介面,feature,0.8931,different,1.0,接觸式介面和非接觸式介面是兩種不同類型的介面
ip協定,feature,tcp/ip協定組,feature,0.8924,same,0.8,節點A和節點B都指涉網路通訊協定，TCP/IP是IP協定的標準化實現
連接埠,feature,通訊埠,feature,0.8892,same,0.9,連接埠和通訊埠是同義詞
實體安全,feature,安全性,feature,0.8874,same,0.9,實體安全和安全性是同義詞
http cookie,feature,cookies,feature,0.883,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指網站使用的 cookie
tcp連接埠,feature,通訊埠,feature,0.8843,same,0.9,tcp連接埠和通訊埠是同義詞
插槽 (socket),feature,插槽 (slot),feature,0.8838,same,0.9,插槽和slot是同義詞
rts,feature,rtsps,feature,0.8822,different,0.8,rts 和 rtsps 雖相關但指稱不同概念
ssl/tls 交握協定,feature,ssl安全交易協定,feature,0.8818,same,0.9,節點A和節點B的名稱語意相近，均指涉及SSL/TLS的安全協定
ssl 紀錄協定,feature,ssl 協定,feature,0.8756,same,0.9,節點 A 和節點 B 的名稱語意相近，ssl 紀錄協定和 ssl 協定都指涉及 ssl 的協定
tls 協定,feature,tcp 協定,feature,0.8768,different,0.9,tls 協定和 tcp 協定是兩個不同的網絡協定
ip協定,feature,tcp 協定,feature,0.872,different,0.8,ip協定和tcp協定是兩種不同的網絡協定
ssl/tls 交握協定,feature,ssl 協定,feature,0.8743,same,0.9,節點 A 和節點 B 都指涉 SSL/TLS 的安全協定，名稱語意相近
實體安全,feature,操作安全,feature,0.8706,different,0.8,實體安全和操作安全是相關但不同的安全概念
ip協定,feature,協定,feature,0.8712,different,0.8,節點 A 指的是特定的 IP 協定，節點 B 的協定範圍更廣泛
udp/tcp 協定,feature,tcp 協定,feature,0.8913,different,0.8,udp/tcp 協定和 tcp 協定雖相關但指稱不同概念
tls 協定,feature,ssl 協定,feature,0.8831,different,0.8,TLS 和 SSL 是相關但不同的加密協定
開放連接埠,feature,連接埠,feature,0.8755,different,0.8,節點 A 和節點 B 雖然相關，但開放連接埠和連接埠指稱不同的概念
ssl/tls 交握協定,feature,tls 協定,feature,0.8844,same,0.9,節點 A 和節點 B 都指涉 TLS 協定的概念，且 SSL/TLS 交握協定包含了 TLS 協定
關聯表,feature,關聯表實例,feature,0.8698,different,0.8,節點 A 和節點 B 雖然相關，但『關聯表』和『關聯表實例』指稱不同概念
通訊協定,feature,tcp 協定,feature,0.868,different,0.8,節點 A 是通訊協定的通用概念，節點 B 是特定的 TCP 協定
金鑰儲存,feature,金鑰封存,feature,0.8675,same,0.9,金鑰儲存和金鑰封存是同義詞
私人ipv4位址,feature,ipv4,feature,0.8674,different,0.8,節點 A 指私人 ipv4 位址，節點 B 指一般 ipv4，兩者概念不同
安全工程,feature,建築物安全,feature,0.8619,different,0.8,安全工程和建築物安全是相關但不同的概念
關聯表,feature,關聯表綱要,feature,0.8669,different,0.8,雖然兩個節點名稱中都包含『關聯表』，但『關聯表』和『關聯表綱要』指稱不同的概念
ssl/tls 交握協定,feature,tls 協議,feature,0.8668,same,0.9,節點 A 和節點 B 都指涉 TLS 協議，ssl/tls 交握協定包含了 TLS 協議的內容
網路協定,feature,通訊協定,feature,0.8613,same,0.9,網路協定和通訊協定是同義詞
tls,feature,tls 協議,feature,0.86,same,0.9,節點 A 和節點 B 的名稱語意等價，tls 和 tls 協議 指稱同一個概念
ip協定,feature,通訊協定,feature,0.8596,different,0.8,ip協定和通訊協定雖相關但指稱不同概念
用戶終端安全,feature,網路裝置安全,feature,0.8592,different,0.8,用戶終端安全和網路裝置安全是相關但不同的安全概念
安全性,feature,系統及安全性,feature,0.8607,different,0.8,節點 A 僅指安全性，節點 B 涵蓋系統及安全性，指稱不同概念
udp/tcp 協定,feature,tcp/ip協定組,feature,0.858,different,0.8,udp/tcp 協定和 tcp/ip 協定組雖相關但指稱不同概念
密碼保護,feature,加密,feature,0.8592,different,0.8,密碼保護和加密是相關但不同的安全功能
網路協定,feature,tcp 協定,feature,0.8551,different,0.8,節點 A 指網路協定的一般概念，節點 B 指特定的 TCP 協定
通訊埠 3389,feature,通訊埠 389,feature,0.8592,different,1.0,兩個節點代表不同的通訊埠號碼
安全工程,feature,安全性,feature,0.8624,different,0.8,安全工程和安全性相關但指稱不同概念
ipv4,feature,ip,feature,0.8593,same,0.8,ipv4 是 ip 的一個特定版本，兩者相關但 ipv4 是 ip 的一個子集
堆疊,feature,堆疊 (stack),feature,0.8542,same,1.0,兩節點名稱語意等價，節點 B 的括號內容提供了英文標準化形式
加密技術,feature,加密,feature,0.8524,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指加密的概念
金鑰配發,feature,公開金鑰,feature,0.8522,different,0.8,金鑰配發和公開金鑰是相關但不同的概念
連接埠鏡射,feature,連接埠,feature,0.8519,different,0.8,連接埠鏡射是一種特定的功能特性，而連接埠是更廣泛的概念
通訊協定,feature,tls 協定,feature,0.8541,different,0.8,節點 A 為通訊協定的一般概念，節點 B 為特定的 TLS 協定
實體安全,feature,資產安全,feature,0.8533,different,0.8,實體安全和資產安全雖相關但指稱不同概念
密碼保護,feature,金鑰保護機制,feature,0.8643,different,0.8,密碼保護和金鑰保護機制是相關但不同的安全功能特性
ip協定,feature,網路協定,feature,0.8513,different,0.8,ip協定和網路協定相關但指稱不同概念
多輪運算 (iteration),feature,多輪運算,feature,0.852,same,1.0,兩節點名稱語意等價
資產安全,feature,安全性,feature,0.8525,same,0.9,資產安全和安全性是同義詞
ip,feature,ip 架構,feature,0.8489,different,0.8,節點 A 和節點 B 雖然相關，但 'ip' 和 'ip 架構' 指稱不同概念
郵件文頭,feature,郵件本文,feature,0.8486,different,0.9,郵件文頭和郵件本文是郵件的不同部分
網路存取安全,feature,網路裝置安全,feature,0.8483,different,0.8,兩節點名稱雖相關但指稱不同概念，網路存取安全和網路裝置安全是不同的安全特性
實體安全,feature,網路裝置安全,feature,0.8516,different,0.8,實體安全和網路裝置安全是相關但不同的安全概念
網路域安全 (network domain security),feature,應用程式域安全 (application domain security),feature,0.8498,different,0.8,兩節點名稱雖相關但指稱不同安全域的概念
ip協定,feature,dhcp 協定,feature,0.8476,different,0.8,ip協定和dhcp協定是兩個不同的網絡協定
ip,feature,ip 位址,feature,0.8463,same,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址
dhcp 協定,feature,tcp 協定,feature,0.8499,different,1.0,dhcp 協定和 tcp 協定是兩個不同的網路協定
tls 協定,feature,ipsec協定,feature,0.8486,different,0.9,tls 協定和 ipsec 協定是兩種不同的網路安全協定
安全性,feature,建築物安全,feature,0.8459,different,0.8,節點 A 指系統或工具的安全性，節點 B 指建築物的安全，雖相關但指稱不同概念
dhcp 協定,feature,ipsec協定,feature,0.8471,different,1.0,dhcp 協定和 ipsec 協定是兩個不同的網絡協定
加密,feature,加密連線,feature,0.8444,different,0.8,加密和加密連線相關但指稱不同概念
tls 協定,feature,協定,feature,0.8443,different,0.8,節點 A 指稱特定的 tls 協定，節點 B 指稱一般的協定
