name_a,type_a,name_b,type_b,similarity,confidence,reason
交易的安全性,feature,交易安全,feature,0.9669,0.9,節點 A 和節點 B 的名稱語意等價，都是指交易的安全性
外圍層,feature,外部層,feature,0.9498,0.9,外圍層和外部層是同義詞
tls 協定,feature,tls 協議,feature,0.9302,1.0,tls 協定和 tls 協議是同義詞
tls,feature,tls/ssl,feature,0.9268,0.9,tls 和 tls/ssl 都指的是加密通訊協定，tls/ssl 可視為 tls 的擴展或變體
操作安全,feature,安全性,feature,0.9201,0.9,操作安全和安全性是同義詞
ip 位址協定,feature,ip協定,feature,0.9117,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址協定的概念
port 445,feature,tcp 445,feature,0.9072,0.9,節點 A 和節點 B 都指稱 TCP 通訊協定的 445 端口
預設帳號,feature,系統預設帳號,feature,0.9064,0.9,節點 A 和節點 B 的名稱語意相近，均指系統或工具的預設帳號特性
ssl安全交易協定,feature,ssl 協定,feature,0.906,0.9,節點A和節點B的名稱語意相近，均指稱SSL安全協定
堆疊,feature,堆積,feature,0.9056,0.9,堆疊和堆積在中文中是同義詞
通訊協定,feature,傳輸協定,feature,0.8956,0.9,通訊協定和傳輸協定在此語境下是同義詞
連接埠,feature,通訊埠,feature,0.8892,0.9,連接埠和通訊埠是同義詞
實體安全,feature,安全性,feature,0.8874,0.9,實體安全和安全性是同義詞
ssl/tls 交握協定,feature,tls 協定,feature,0.8844,0.9,節點 A 和節點 B 都指涉 TLS 協定的概念，且 SSL/TLS 交握協定包含了 TLS 協定
tcp連接埠,feature,通訊埠,feature,0.8843,0.9,tcp連接埠和通訊埠是同義詞
插槽 (socket),feature,插槽 (slot),feature,0.8838,0.9,插槽和slot是同義詞
http cookie,feature,cookies,feature,0.883,0.9,節點 A 和節點 B 的名稱語意等價，都是指網站使用的 cookie
ssl/tls 交握協定,feature,ssl安全交易協定,feature,0.8818,0.9,節點A和節點B的名稱語意相近，均指涉及SSL/TLS的安全協定
ssl 紀錄協定,feature,ssl 協定,feature,0.8756,0.9,節點 A 和節點 B 的名稱語意相近，ssl 紀錄協定和 ssl 協定都指涉及 ssl 的協定
ssl/tls 交握協定,feature,ssl 協定,feature,0.8743,0.9,節點 A 和節點 B 都指涉 SSL/TLS 的安全協定，名稱語意相近
金鑰儲存,feature,金鑰封存,feature,0.8675,0.9,金鑰儲存和金鑰封存是同義詞
