關係 (Relation),中文翻譯,來源,範例說明,新增原因
has_a,具有 / 包含,AISecKG,描述工具或攻擊所擁有的特徵與功能。(例：Nmap 具有 網路掃描功能),
can_analyze,可分析,AISecKG,安全團隊或工具對資料或系統的解析。(例：SIEM 可分析 系統日誌),
can_expose,可暴露,AISecKG,系統或資料狀態導致的危險。(例：未加密的HTTP 可暴露 資料),
can_exploit,可利用 / 惡意探索,AISecKG,攻擊者針對漏洞發起的行動。(例：攻擊者 可利用 CVE漏洞),
implements,實作 / 執行,AISecKG,角色執行某項技術或規範。(例：安全團隊 執行 滲透測試),
uses,使用,AISecKG,角色操作應用程式或工具。(例：攻擊者 使用 惡意腳本),
can_harm,可危害,AISecKG,攻擊造成的負面影響。(例：勒索軟體 可危害 待用資料),
can_detect,可偵測,AISecKG,工具發現攻擊或異常的過程。(例：IDS 可偵測 網路掃描),
is_part_of,屬於,AISecKG,元件與整體的從屬關係。(例：加密 屬於 勒索軟體的一環),
mitigates,可緩解 / 防禦,(新增),用於建構防禦學習路徑。(例：VPN 可緩解 攔截式攻擊),"用於建構防禦學習路徑與對策推薦。,建立防禦邏輯，讓系統能根據攻擊推薦對應的工具、技術或政策。"
violates,違反,(新增),將攻擊行為與核心原則綁定。(例：阻斷服務 違反 可用性原則),將技術性的攻擊手法轉化為管理面的影響分析（例如 DDoS 違反可用性）。
deployed_in,部署於 / 存放於,(新增),描述應用程式、工具或資料放置在何種基礎設施中。(例：網站 部署於 DMZ),區分「實體部署」與「元件從屬」。
generates,產生 / 生成,(新增),描述系統或工具運作時產出的資料或日誌。(例：IDS 產生 安全日誌) ,建立系統運作與日誌產出之關聯，解決無法描述資料生成的缺失。
connects_to,連接至 / 通訊,(新增),描述系統與系統、或應用程式與系統之間的網路連線狀態。(例：物聯網設備 連接至 網際網路),用於建構網路拓樸結構，精確表達連線行為而非系統包含關係。
depends_on,依賴 / 需要,(新增),描述某項技術或系統必須依靠另一項工具或功能才能運作。(例：即時偵測攻擊 依賴 防火牆),表達防禦/攻擊技術與實體工具之間不可或缺的依賴關係。
controls,控制 / 管理,(新增),描述角色或工具對其他基礎設施的管理與控制權。(例：C&C伺服器 控制 殭屍網路) ,精確區分一般「使用」與高權限「控制」的資安差異。
