主體 (Subject),關係 (Relation),受體 (Object),來源,新增原因
feature,can_analyze,system,AISecKG,
feature,can_analyze,app,AISecKG,
feature,can_analyze,data,AISecKG,
feature,can_analyze,vulnerability,AISecKG,
feature,can_detect,attack,AISecKG,
function,can_analyze,vulnerability,AISecKG,
function,can_analyze,system,AISecKG,
function,can_analyze,app,AISecKG,
function,can_analyze,data,AISecKG,
function,can_detect,attack,AISecKG,
policy,mitigates,risk,(新增),呈現管理面控制措施對於緩解組織資安風險的價值。
policy,mitigates,attack,(新增),呈現管理規範（如密碼原則）對防範具體攻擊（如暴力破解）的防禦效用。
securityTeam,can_analyze,app,AISecKG,
securityTeam,can_analyze,data,AISecKG,
securityTeam,can_analyze,system,AISecKG,
securityTeam,can_analyze,feature,AISecKG,
securityTeam,can_analyze,attack,AISecKG,
securityTeam,uses,tool,AISecKG,
securityTeam,uses,technique,AISecKG,
securityTeam,implements,function,AISecKG,
securityTeam,implements,policy,(新增),描述安全團隊在制定、推動與稽核資安政策的職能。
securityTeam,can_detect,vulnerability,AISecKG,
securityTeam,controls,system,(新增),表達網管或資安人員對內部主機設備的合法設定權限。
securityTeam,controls,tool,(新增),描述資安團隊對防禦系統與資安工具的維護與管理。
technique,can_analyze,vulnerability,AISecKG,
technique,can_detect,attack,AISecKG,
technique,mitigates,attack,(新增),建立防禦技術（如滲透測試、硬體加固）與具體攻擊手法之對應。
technique,depends_on,tool,(新增),說明防禦技術（如日誌分析）必須依賴監控工具來執行。
tool,can_analyze,system,AISecKG,
tool,can_analyze,app,AISecKG,
tool,can_analyze,data,AISecKG,
tool,can_analyze,vulnerability,AISecKG,
tool,can_analyze,feature,AISecKG,
tool,can_detect,attack,AISecKG,
tool,mitigates,risk,(新增),建立技術工具作為「風險緩解控制項」的邏輯路徑（如 DLP 緩解資安風險）。
tool,mitigates,attack,(新增),建立防禦工具（如防火牆、IPS）與攻擊行為的直接對應關係。
tool,controls,system,(新增),描述防禦工具（如存取控制）對底層資源的安全管控。
